"Phanteks Eclipse P400 Series Case, AMD RYZEN 3 1200 4-Core 3.1 GHz CPU, ASUS ROG ...",$,615,.93,35
Video graphics Card Inno3D NVIDIA GeForce GTX 1050Ti Gaming OC 4GB GDDR5,$,241,.99,36
"EVGA GeForce GTX 1050 Ti SSC GAMING ACX 3.0, 04G-P4-6255-KR, 4GB GDDR5, DX12 OSD Support (PXOC)",$,154,.99,37
"EVGA GeForce GTX 1050 Ti GAMING, 04G-P4-6251-KR, 4GB GDDR5, DX12 OSD Support (PXOC)",$,154,.99,38
GIGABYTE GeForce GTX 1050 Ti DirectX 12 GV-N105TWF2OC-4GD 4GB 128-Bit GDDR5 PCI Express 3.0 x16 ATX Video Card,$,169,.99,39
"EVGA GeForce GTX 1050 Ti SC GAMING, 04G-P4-6253-KR, 4GB GDDR5, DX12 OSD Support (PXOC)",$,159,.99,40
MSI GeForce GTX 1050 Ti DirectX 12 GTX 1050 TI 4GT LP 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Low Profile Video Card,$,164,.99,41
MSI GeForce GTX 1050 Ti DirectX 12 GTX 1050 Ti GAMING X 4G 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready ATX Video Card,$,189,.99,42
"GIGABYTE GeForce GTX 1050 Ti OC Low Profile 4GB Video Card, GBTGV-N105TOC-4GL",$,159,.99,43
"EVGA GeForce GTX 1050 Ti FTW GAMING ACX 3.0, 04G-P4-6258-KR, 4GB GDDR5, DX12 OSD Support (PXOC)",$,174,.99,44
GIGABYTE GeForce GTX 1050 Ti DirectX 12 GV-N105TD5-4GD 4GB 128-Bit GDDR5 PCI Express 3.0 x16 ATX Video Cards,$,154,.99,45
MSI GeForce GTX 1050 Ti DirectX 12 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready GTX 1050 Ti 4G OC Video Graphics Card,$,236,.77,46
MSI GeForce GTX 1050 Ti DirectX 12 GTX 1050 Ti 4GT OC 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready ATX Video Card,$,154,.99,47
MSI GeForce GTX 1050 Ti DirectX 12 GTX 1050 Ti AERO ITX 4G OC 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card,$,149,.99,48
MSI Gaming X GeForce GTX 1050 Ti 4GB GDDR5 PCI-E x16 3.0 Graphics Card,$,282,.65,49
MSI GeForce GTX 1050 Ti DirectX 12 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Low Profile GTX 1050 TI 4GT LP Video Graphics Card,$,296,.77,50
ASUS GeForce GTX 1050 Ti DUAL-GTX1050TI-O4G 4GB 128-Bit GDDR5 PCI Express 3.0 HDCP Ready Video Card,$,164,.99,51
GIGABYTE GeForce GTX 1050 Ti DirectX 12 GV-N105TOC-4GD 4GB 128-Bit GDDR5 PCI Express 3.0 x16 ATX Video Cards,$,159,.99,52
ASUS ROG GeForce GTX 1050 Ti STRIX-GTX1050TI-O4G-GAMING 4GB 128-Bit GDDR5 PCI Express 3.0 HDCP Ready Video Card,$,184,.99,53
EVGA GeForce GTX 1050 Ti SC GAMING 4GB GDDR5 DX12 OSD Support (PXOC) 04G-P4-6253-KR Video Graphics Card,$,214,.77,54
